,Base Name,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles,Day,Datetime
0,UBER,2015,1,January,1871075,0,12544,1,2015-01-01
1,UBER,2015,2,February,2178305,0,13531,1,2015-02-01
2,UBER,2015,3,March,2259575,0,14290,1,2015-03-01
3,UBER,2015,4,April,2280332,0,14952,1,2015-04-01
4,LYFT,2015,4,April,80613,0,2519,1,2015-04-01
5,VIA,2015,4,April,113866,0,472,1,2015-04-01
6,UBER,2015,5,May,1854691,0,12472,1,2015-05-01
7,LYFT,2015,5,May,100862,0,2701,1,2015-05-01
8,VIA,2015,5,May,121127,0,576,1,2015-05-01
9,UBER,2015,6,June,2816572,0,18751,1,2015-06-01
10,LYFT,2015,6,June,111111,0,2963,1,2015-06-01
11,VIA,2015,6,June,155658,0,665,1,2015-06-01
12,UBER,2015,7,July,3107558,0,21616,1,2015-07-01
13,LYFT,2015,7,July,194815,0,3895,1,2015-07-01
14,VIA,2015,7,July,175349,0,813,1,2015-07-01
15,UBER,2015,8,August,3316381,0,23350,1,2015-08-01
16,LYFT,2015,8,August,318717,0,5016,1,2015-08-01
17,VIA,2015,8,August,201490,0,833,1,2015-08-01
18,UBER,2015,9,September,3709270,0,25035,1,2015-09-01
19,LYFT,2015,9,September,399622,0,5592,1,2015-09-01
20,VIA,2015,9,September,218364,0,810,1,2015-09-01
21,UBER,2015,10,October,4359759,0,26875,1,2015-10-01
22,LYFT,2015,10,October,434476,0,6657,1,2015-10-01
23,VIA,2015,10,October,261311,0,897,1,2015-10-01
24,UBER,2015,11,November,4178591,0,27666,1,2015-11-01
25,LYFT,2015,11,November,450483,0,7023,1,2015-11-01
26,VIA,2015,11,November,255655,0,923,1,2015-11-01
27,UBER,2015,12,December,4343828,0,28716,1,2015-12-01
28,LYFT,2015,12,December,524782,0,6830,1,2015-12-01
29,VIA,2015,12,December,264889,0,943,1,2015-12-01
30,UBER,2016,1,January,4301254,0,29665,1,2016-01-01
31,LYFT,2016,1,January,564149,0,9858,1,2016-01-01
32,VIA,2016,1,January,305570,0,1099,1,2016-01-01
33,UBER,2016,2,February,4827339,0,29538,1,2016-02-01
34,LYFT,2016,2,February,667766,0,9734,1,2016-02-01
35,VIA,2016,2,February,361156,0,1182,1,2016-02-01
36,UBER,2016,3,March,4949743,0,29835,1,2016-03-01
37,LYFT,2016,3,March,691455,0,9266,1,2016-03-01
38,JUNO,2016,3,March,201,0,186,1,2016-03-01
39,VIA,2016,3,March,429572,0,1318,1,2016-03-01
40,UBER,2016,4,April,5103751,0,30702,1,2016-04-01
41,LYFT,2016,4,April,810447,0,10865,1,2016-04-01
42,JUNO,2016,4,April,5338,0,3780,1,2016-04-01
